,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2016,2017,137.0,4.0,France,25000000.0,717753.0,33107,128.0,252.0,27000,179.0,17000.0,10000.0,4000.0,33747,6.1,Good
245,246,91.0,0.0,UK,100000000.0,274084951.0,582917,1885.0,738.0,147000,0.0,39.0,23.0,13.0,87,7.8,Good
340,341,102.0,4.0,USA,95000000.0,17176900.0,54501,154.0,175.0,16000,44.0,12000.0,3000.0,766.0,17098,5.5,Fair
2718,2719,107.0,2.0,France,15000000.0,5023275.0,34194,199.0,172.0,0,0.0,572.0,324.0,289.0,1627,7.5,Good
4445,4446,130.0,2.0,USA,60000000.0,80033643.0,226583,448.0,387.0,38000,188.0,10000.0,3000.0,1000.0,16385,7.0,Good
4373,4374,111.0,13.0,USA,1800000.0,48468407.52680933,686,8.0,4.0,569,21.0,761.0,713.0,685.0,4306,5.4,Fair
4558,4559,102.0,0.0,USA,39752620.436387606,2981638.0,40425,186.0,348.0,0,46.0,321.0,300.0,287.0,1263,6.9,Good
2234,2235,103.0,3.0,Germany,39752620.436387606,26870825.0,22604,124.0,90.0,0,31.0,12000.0,804.0,733.0,14903,6.4,Good
1278,1279,119.0,1.0,USA,40000000.0,25178165.0,70292,274.0,94.0,8000,7.0,18000.0,9000.0,903.0,29484,6.7,Good
966,967,124.0,0.0,USA,50000000.0,52752475.0,63067,533.0,152.0,0,213.0,838.0,593.0,372.0,2583,6.7,Good
1079,1080,119.0,3.0,USA,45000000.0,92115211.0,45798,94.0,39.0,1000,541.0,821.0,577.0,551.0,4043,6.7,Good
414,415,104.0,1.0,USA,85000000.0,47592825.0,82731,255.0,151.0,0,532.0,12000.0,3000.0,557.0,16930,6.7,Good
1549,1550,89.0,8.0,USA,35000000.0,21784432.0,37493,108.0,133.0,0,16.0,49000.0,22000.0,2000.0,74181,5.6,Fair
4685,4686,95.0,0.0,USA,750000.0,48468407.52680933,851,30.0,8.0,128,3.0,717.0,134.0,118.0,1117,3.1,Bad
4744,4745,90.0,5.0,USA,39752620.436387606,342936.0,45928,106.0,155.0,0,217.0,10000.0,10000.0,243.0,20480,6.1,Good
2521,2522,97.0,0.0,UK,17000000.0,2315683.0,4081,28.0,21.0,154,3.0,400.0,193.0,161.0,805,3.0,Bad
275,276,84.0,0.0,Germany,133000000.0,140015224.0,94172,179.0,101.0,0,50.0,979.0,886.0,692.0,3382,5.9,Fair
1738,1739,122.0,1.0,USA,35000000.0,18593156.0,88682,241.0,302.0,0,2000.0,2000.0,1000.0,1000.0,6161,7.7,Good
1601,1602,87.0,0.0,USA,30000000.0,85416609.0,58906,186.0,89.0,0,47.0,19000.0,542.0,217.0,20097,7.0,Good
4372,4373,90.0,0.0,Canada,1800000.0,48468407.52680933,761,12.0,10.0,566,4.0,433.0,108.0,91.0,984,3.4,Bad
3399,3400,111.0,1.0,France,8000000.0,3076425.0,23660,162.0,128.0,0,341.0,963.0,678.0,569.0,3543,7.1,Good
2467,2468,121.0,2.0,Spain,11350000.0,229311.0,899,42.0,10.0,271,0.0,854.0,578.0,353.0,2705,6.2,Good
3651,3652,111.0,0.0,France,5300000.0,3895664.0,34383,149.0,88.0,0,82.0,809.0,447.0,269.0,1858,7.3,Good
3922,3923,96.0,1.0,USA,8000000.0,3713002.0,3611,62.0,52.0,131,2.0,960.0,12.0,0.0,972,2.7,Bad
3996,3997,93.0,2.0,USA,3500000.0,10305534.0,1721,38.0,19.0,280,0.0,625.0,118.0,78.0,987,3.9,Bad
2174,2175,118.0,0.0,USA,20000000.0,56398162.0,28649,185.0,64.0,2000,30.0,962.0,593.0,284.0,2390,5.7,Fair
1924,1925,114.0,3.0,USA,25000000.0,41597830.0,102123,660.0,174.0,0,335.0,11000.0,577.0,530.0,12624,7.6,Good
3023,3024,125.0,1.0,USA,11000000.0,460935665.0,911097,1470.0,282.0,33000,0.0,11000.0,1000.0,504.0,13485,8.7,Excellent
277,278,151.0,1.0,USA,108000000.0,228430993.0,472488,1023.0,568.0,153000,0.0,13000.0,801.0,372.0,14831,8.1,Excellent
2358,2359,95.0,2.0,USA,20000000.0,51431160.0,62861,232.0,69.0,0,15.0,1000.0,852.0,528.0,3092,5.9,Fair
4297,4298,91.0,1.0,USA,2000000.0,124494.0,5613,102.0,51.0,0,4.0,33.0,3.0,0.0,36,6.7,Good
4752,4753,100.0,3.0,USA,500000.0,31937.0,1358,10.0,9.0,60,6.0,396.0,326.0,325.0,2310,5.7,Fair
3768,3769,90.0,0.0,USA,39752620.436387606,4328294.0,2719,41.0,43.0,249,7.0,2000.0,847.0,701.0,5900,5.4,Fair
4564,4565,91.0,3.0,UK,3500000.0,45857453.0,82232,174.0,122.0,0,11.0,1000.0,891.0,121.0,2323,7.2,Good
2547,2548,83.0,0.0,USA,16000000.0,39511038.0,56269,366.0,196.0,0,473.0,20000.0,4000.0,597.0,26402,5.9,Fair
3446,3447,92.0,6.0,USA,8000000.0,10814185.0,37530,106.0,192.0,0,406.0,24000.0,15000.0,968.0,41867,6.2,Good
873,874,118.0,2.0,USA,55000000.0,33828318.0,44453,154.0,123.0,0,101.0,13000.0,390.0,327.0,14036,5.8,Fair
1275,1276,99.0,2.0,USA,40000000.0,27663982.0,26051,164.0,70.0,0,287.0,10000.0,368.0,44.0,10469,4.4,Fair
2834,2835,108.0,1.0,USA,13000000.0,106952327.0,551363,1140.0,669.0,106000,0.0,20000.0,15000.0,1000.0,38072,8.0,Good
4881,4882,99.0,1.0,USA,39752620.436387606,48468407.52680933,1465,56.0,140.1942719807731,515,45.0,1000.0,393.0,224.0,2166,7.4,Good
824,825,125.0,0.0,USA,58000000.0,49875589.0,28807,273.0,144.0,0,143.0,1000.0,664.0,519.0,4416,5.9,Fair
3305,3306,103.0,3.0,USA,9000000.0,1530535.0,7833,63.0,100.0,215,38.0,745.0,591.0,316.0,1721,5.7,Fair
4967,4968,81.0,2.0,USA,100000.0,48468407.52680933,101,1.0,5.0,17,0.0,416.0,18.0,10.0,459,3.6,Bad
1772,1773,83.0,3.0,Germany,28000000.0,37053924.0,77935,122.0,220.0,0,181.0,731.0,579.0,459.0,1987,6.1,Good
2445,2446,112.0,0.0,USA,17000000.0,6734844.0,29591,118.0,38.0,0,213.0,567.0,67.0,45.0,711,5.9,Fair
949,950,121.0,0.0,USA,50000000.0,79948113.0,186879,791.0,279.0,0,295.0,12000.0,748.0,329.0,13421,6.2,Good
1778,1779,123.0,0.0,USA,28000000.0,30688364.0,69355,211.0,211.0,10000,368.0,933.0,194.0,114.0,1286,6.2,Good
3275,3276,176.0,4.0,India,7217600.0,3047539.0,42296,286.0,50.0,12000,147.0,8000.0,3000.0,1000.0,13762,6.9,Good
4283,4284,90.0,0.0,Israel,1500000.0,2283276.0,46107,156.0,231.0,0,56.0,56.0,0.0,0.0,56,8.0,Good
483,484,129.0,1.0,USA,75000000.0,45356386.0,71574,244.0,137.0,951,258.0,2000.0,277.0,163.0,2864,5.9,Fair
3475,3476,143.0,4.0,Australia,105000000.0,144812796.0,362933,753.0,490.0,115000,1000.0,29000.0,509.0,76.0,29769,7.3,Good
2502,2503,98.0,1.0,USA,17000000.0,22734486.0,11815,117.0,75.0,320,39.0,593.0,517.0,428.0,2713,5.6,Fair
1453,1454,112.0,0.0,USA,35000000.0,30691439.0,86205,232.0,208.0,5000,192.0,1000.0,915.0,844.0,3185,6.2,Good
3511,3512,91.0,2.0,USA,7000000.0,7455447.0,29967,126.0,223.0,0,157.0,490.0,259.0,224.0,1136,6.3,Good
1084,1085,122.0,2.0,USA,45000000.0,76261036.0,305929,633.0,109.0,0,845.0,18000.0,881.0,854.0,22370,7.7,Good
2131,2132,136.0,1.0,USA,21000000.0,46700000.0,19832,98.0,43.0,0,16000.0,16000.0,281.0,216.0,16805,5.9,Fair
3927,3928,96.0,0.0,USA,4000000.0,1325073.0,18762,91.0,114.0,708,101.0,730.0,394.0,71.0,1208,6.6,Good
4768,4769,93.0,1.0,USA,12000000.0,37188667.0,34219,578.0,111.0,0,33.0,1000.0,188.0,135.0,1531,3.3,Bad
36,37,165.0,2.0,USA,210000000.0,245428137.0,242420,918.0,378.0,56000,0.0,974.0,956.0,808.0,3988,5.7,Fair
1006,1007,60.0,2.0,USA,39752620.436387606,48468407.52680933,7945,22.0,4.0,915,686.6217091940057,629.0,512.0,398.0,2758,7.5,Good
2890,2891,94.0,0.0,USA,13000000.0,51872378.0,88241,266.0,285.0,23000,122.0,873.0,461.0,383.0,2812,6.7,Good
3481,3482,119.0,1.0,USA,9000000.0,25000000.0,39847,242.0,112.0,0,23.0,1000.0,659.0,440.0,2951,6.8,Good
4630,4631,101.0,0.0,UK,20000000.0,2319187.0,92640,212.0,393.0,23000,0.0,3000.0,1000.0,888.0,5056,7.0,Good
1877,1878,107.0,1.0,Russia,26000000.0,48468407.52680933,3170,18.0,25.0,0,0.0,1000.0,65.0,48.0,1166,5.4,Fair
1364,1365,97.0,2.0,Italy,38000000.0,48468407.52680933,6691,28.0,21.0,366,2.0,4000.0,476.0,217.0,4900,4.8,Fair
1589,1590,104.0,0.0,USA,30000000.0,125014030.0,145852,164.0,214.0,32000,23.0,17000.0,359.0,281.0,18322,6.8,Good
3099,3100,119.0,1.0,USA,13800000.0,52293982.0,57831,115.0,59.0,0,17000.0,10000.0,970.0,638.0,11895,7.0,Good
1677,1678,108.0,0.0,USA,30000000.0,23070045.0,47003,215.0,244.0,11000,24.0,2000.0,942.0,653.0,3892,5.9,Fair
1487,1488,100.0,1.0,UK,35000000.0,10991381.0,44931,100.0,188.0,0,212.0,2000.0,1000.0,919.0,5890,7.3,Good
4436,4437,101.0,1.0,USA,2500000.0,1163508.0,20376,166.0,234.0,15000,0.0,1000.0,725.0,721.0,5158,5.1,Fair
1402,1403,129.0,0.0,USA,29000000.0,255950375.0,223127,420.0,261.0,38000,102.0,768.0,734.0,624.0,3389,7.7,Good
794,795,104.0,0.0,USA,60000000.0,30063805.0,31788,243.0,117.0,0,293.0,780.0,265.0,256.0,2109,6.1,Good
2422,2423,86.0,1.0,USA,18000000.0,23993605.0,52467,248.0,190.0,0,62.0,390.0,258.0,59.0,727,5.8,Fair
4456,4457,105.0,1.0,USA,1377800.0,48468407.52680933,22975,155.0,53.0,0,7.0,1000.0,370.0,356.0,2658,6.5,Good
2541,2542,129.0,0.0,USA,16000000.0,54000000.0,26310,154.0,79.0,0,0.0,844.0,617.0,359.0,2330,7.8,Good
4791,4792,90.0,0.0,USA,1066167.0,258113.0,42678,135.0,279.0,0,57.0,1000.0,235.0,92.0,1528,7.1,Good
401,402,91.0,2.0,USA,85000000.0,148313048.0,164148,168.0,256.0,28000,266.0,12000.0,11000.0,11000.0,37142,7.1,Good
938,939,112.0,2.0,USA,50000000.0,191616238.0,258186,322.0,330.0,24000,97.0,17000.0,920.0,584.0,19428,7.1,Good
4477,4478,80.0,1.0,USA,427000.0,2833383.0,910,11.0,16.0,0,8.0,2000.0,245.0,183.0,2459,5.7,Fair
1827,1828,101.0,0.0,USA,27000000.0,4476235.0,49405,226.0,127.0,2000,212.0,1000.0,968.0,749.0,4186,6.4,Good
4451,4452,94.0,0.0,UK,1400000.0,36830.0,3291,63.0,60.0,400,87.0,87.0,70.0,37.0,256,6.6,Good
1039,1040,129.0,1.0,UK,39752620.436387606,12802907.0,70886,226.0,324.0,36000,456.0,2000.0,35.0,0.0,2035,6.6,Good
1718,1719,88.0,1.0,UK,30000000.0,2975649.0,23864,142.0,124.0,0,108.0,876.0,142.0,135.0,1518,7.0,Good
3501,3502,96.0,3.0,USA,7000000.0,7292175.0,7736,100.0,72.0,0,30.0,761.0,412.0,407.0,2018,6.4,Good
594,595,110.0,1.0,USA,70000000.0,42272747.0,78635,1040.0,284.0,0,0.0,3000.0,579.0,559.0,5609,5.6,Fair
4181,4182,119.0,0.0,USA,15000000.0,33386128.0,36372,491.0,220.0,3000,0.0,908.0,764.0,593.0,3226,4.9,Fair
3767,3768,97.0,0.0,UK,5000000.0,5009677.0,260607,485.0,415.0,47000,0.0,18000.0,572.0,372.0,19404,7.9,Good
1826,1827,112.0,1.0,USA,15000000.0,4485485.0,14612,105.0,78.0,0,541.0,22000.0,22000.0,638.0,46022,6.4,Good
21,22,156.0,0.0,USA,200000000.0,105219735.0,211765,546.0,343.0,17000,0.0,891.0,882.0,738.0,3244,6.7,Good
2517,2518,134.0,6.0,UK,17000000.0,15681020.0,33570,259.0,94.0,1000,22.0,1000.0,593.0,488.0,3007,3.6,Bad
1665,1666,94.0,0.0,USA,45000000.0,32095318.0,12466,84.0,64.0,304,39.0,1000.0,611.0,506.0,3664,5.5,Fair
192,193,138.0,2.0,USA,125000000.0,101160529.0,200022,1240.0,434.0,71000,0.0,12000.0,9000.0,8000.0,32355,5.8,Fair
3386,3387,117.0,1.0,USA,8300000.0,48468407.52680933,2311,25.0,55.0,638,133.0,471.0,277.0,86.0,858,6.4,Good
3666,3667,105.0,9.0,USA,39752620.436387606,531806.0,548,6.0,9.0,277,12.0,25.0,11.0,10.0,72,3.4,Bad
1228,1229,98.0,0.0,USA,40000000.0,54967359.0,52805,209.0,70.0,0,20.0,2000.0,2000.0,968.0,7039,5.2,Fair
1681,1682,133.0,0.0,USA,35000000.0,21129348.0,146364,237.0,239.0,27000,549.0,10000.0,796.0,343.0,11799,7.4,Good
4969,4970,77.0,0.0,USA,100000.0,48468407.52680933,80,1.0,5.0,82,0.0,45.0,0.0,0.0,45,7.6,Good
3513,3514,105.0,3.0,USA,7000000.0,2062066.0,11387,147.0,97.0,357,261.0,783.0,658.0,617.0,2684,6.6,Good
2187,2188,77.0,0.0,USA,30000000.0,45542421.0,13319,53.0,89.0,347,25.0,304.0,253.0,16.0,575,6.3,Good
4155,4156,88.0,0.0,USA,2800000.0,19170001.0,21359,270.0,110.0,0,152.0,935.0,448.0,181.0,1855,5.3,Fair
1630,1631,107.0,1.0,USA,27800000.0,55210049.0,43743,293.0,98.0,0,0.0,12000.0,664.0,643.0,14710,5.4,Fair
2217,2218,113.0,3.0,USA,20000000.0,31146570.0,55441,165.0,258.0,0,108.0,1000.0,100.0,22.0,1136,6.9,Good
1547,1548,129.0,0.0,USA,32000000.0,48814909.0,89424,224.0,98.0,0,88.0,22000.0,9000.0,975.0,36069,7.2,Good
1756,1757,120.0,12.0,USA,30000000.0,7443007.0,24663,71.0,210.0,0,0.0,579.0,489.0,210.0,1500,6.7,Good
1688,1689,108.0,1.0,USA,30000000.0,16930884.0,65628,262.0,158.0,0,50.0,14000.0,975.0,494.0,16722,5.9,Fair
2379,2380,97.0,4.0,USA,23000000.0,6923891.0,43867,83.0,136.0,0,31.0,2000.0,2000.0,562.0,5519,6.3,Good
1281,1282,128.0,1.0,USA,40000000.0,24332324.0,13830,61.0,12.0,680,545.0,783.0,754.0,353.0,3126,6.1,Good
2381,2382,92.0,0.0,USA,19000000.0,2119994.0,1153,15.0,10.0,238,22.0,2.0,0.0,0.0,2,5.7,Fair
4966,4967,68.0,3.0,USA,39752620.436387606,48468407.52680933,67,9.0,1.0,10,2.0,142.0,86.0,75.0,354,7.1,Good
2125,2126,116.0,0.0,USA,22000000.0,11326836.0,83171,231.0,288.0,17000,108.0,23000.0,820.0,120.0,24134,6.8,Good
3890,3891,150.0,0.0,UK,140000000.0,65007045.0,128694,657.0,314.0,51000,0.0,23000.0,892.0,748.0,26489,6.1,Good
494,495,119.0,0.0,USA,44000000.0,21471685.0,65464,1308.0,174.0,0,64.0,743.0,117.0,41.0,971,2.4,Bad
3281,3282,93.0,2.0,USA,10000000.0,48468407.52680933,12520,76.0,115.0,0,33.0,14000.0,383.0,123.0,15014,5.8,Fair
2474,2475,119.0,2.0,USA,20000000.0,121463226.0,422606,555.0,256.0,0,99.0,15000.0,833.0,778.0,17584,7.6,Good
3731,3732,109.0,2.0,USA,6000000.0,14821531.0,6915,209.0,31.0,599,148.0,2000.0,434.0,426.0,3843,7.3,Good
1752,1753,102.0,1.0,USA,29000000.0,55845943.0,130094,471.0,178.0,0,0.0,40000.0,4000.0,876.0,46186,6.4,Good
343,344,92.0,0.0,USA,93000000.0,181166115.0,219501,1236.0,198.0,0,394.0,693.0,595.0,527.0,2574,5.9,Fair
304,305,103.0,0.0,USA,100000000.0,67631157.0,176598,374.0,321.0,25000,207.0,40000.0,11000.0,3000.0,55175,6.0,Fair
4380,4381,138.0,1.0,USA,1700000.0,35918429.0,32415,510.0,179.0,951,143.0,1000.0,874.0,783.0,3970,7.5,Good
2564,2565,107.0,1.0,USA,16000000.0,16204793.0,92712,294.0,300.0,6000,45.0,24000.0,396.0,271.0,24805,5.1,Fair
200,201,95.0,3.0,USA,130000000.0,148337537.0,172754,187.0,233.0,13000,96.0,24000.0,11000.0,8000.0,46120,7.3,Good
682,683,151.0,2.0,USA,63000000.0,37023395.0,1347461,2968.0,315.0,48000,21000.0,11000.0,783.0,637.0,13209,8.8,Excellent
1317,1318,93.0,3.0,Germany,40000000.0,652526.0,20201,187.0,66.0,823,13.0,15000.0,460.0,173.0,15638,5.1,Fair
670,671,159.0,1.0,UK,65000000.0,55637680.0,227071,1500.0,280.0,10000,0.0,10000.0,580.0,521.0,11424,7.3,Good
2490,2491,110.0,2.0,USA,17500000.0,19179969.0,54710,177.0,91.0,0,422.0,33000.0,459.0,422.0,35345,6.3,Good
2637,2638,109.0,2.0,USA,7000000.0,40983001.0,181025,336.0,355.0,38000,453.0,15000.0,10000.0,953.0,27788,7.7,Good
708,709,117.0,0.0,USA,65000000.0,210592590.0,607235,2073.0,460.0,13000,0.0,18000.0,13000.0,447.0,32360,7.7,Good
3926,3927,93.0,1.0,USA,4000000.0,2426851.0,16224,76.0,121.0,830,131.0,497.0,113.0,90.0,776,6.5,Good
2439,2440,107.0,0.0,USA,18000000.0,48468407.52680933,27629,149.0,120.0,2000,0.0,517.0,376.0,101.0,1067,7.4,Good
1966,1967,88.0,5.0,USA,39752620.436387606,13920741.0,59900,149.0,111.0,0,82.0,874.0,434.0,432.0,2062,6.7,Good
1474,1475,91.0,0.0,USA,35000000.0,20275446.0,95274,178.0,248.0,20000,192.0,23000.0,1000.0,346.0,24669,6.5,Good
4870,4871,92.0,0.0,USA,39752620.436387606,45661.0,7148,32.0,85.0,773,337.0,35.0,32.0,22.0,114,7.3,Good
4829,4830,80.0,3.0,USA,300000.0,2360184.0,18035,177.0,131.0,0,54.0,1000.0,806.0,543.0,3010,7.1,Good
2356,2357,97.0,0.0,USA,20000000.0,100292856.0,160418,296.0,286.0,16000,52.0,3000.0,957.0,384.0,5547,5.7,Fair
134,135,131.0,0.0,China,150000000.0,195000874.0,232187,440.0,465.0,47000,188.0,10000.0,10000.0,641.0,21840,7.4,Good
3756,3757,82.0,0.0,USA,5000000.0,9628751.0,5164,65.0,29.0,207,99.0,93.0,45.0,44.0,315,5.9,Fair
3911,3912,120.0,2.0,USA,4000000.0,48468407.52680933,12981,121.0,70.0,0,1000.0,862.0,403.0,268.0,1652,7.4,Good
2743,2744,104.0,2.0,South Africa,15000000.0,48468407.52680933,609,15.0,17.0,705,36.0,549.0,248.0,2.0,801,6.0,Fair
2571,2572,125.0,2.0,USA,26000000.0,77324422.0,178731,261.0,68.0,0,438.0,18000.0,15000.0,372.0,33865,7.7,Good
3069,3070,111.0,2.0,UK,12000000.0,48468407.52680933,5013,59.0,136.0,0,17.0,845.0,641.0,405.0,3117,5.7,Fair
2802,2803,137.0,0.0,USA,26000000.0,5459824.0,92781,320.0,251.0,5000,143.0,14000.0,617.0,280.0,15337,7.6,Good
2022,2023,106.0,8.0,USA,24000000.0,65182182.0,15310,38.0,52.0,3000,167.0,966.0,807.0,676.0,4830,5.7,Fair
79,80,124.0,4.0,USA,200000000.0,312057433.0,522371,723.0,453.0,18000,4000.0,21000.0,19000.0,4000.0,48638,7.0,Good
1694,1695,93.0,0.0,USA,30000000.0,14888028.0,28606,262.0,140.0,0,2.0,849.0,787.0,258.0,2178,5.1,Fair
569,570,110.0,1.0,USA,70000000.0,47456450.0,101386,289.0,234.0,0,532.0,3000.0,638.0,461.0,5187,7.1,Good
45,46,123.0,0.0,USA,190000000.0,202351611.0,465019,995.0,654.0,129000,395.0,17000.0,11000.0,1000.0,32392,7.0,Good
1528,1529,99.0,0.0,USA,33000000.0,35057332.0,45394,72.0,121.0,19000,35.0,3000.0,594.0,433.0,4863,6.5,Good
2659,2660,107.0,1.0,USA,15000000.0,28014536.0,73347,296.0,111.0,0,5.0,893.0,822.0,141.0,2044,7.4,Good
1199,1200,116.0,4.0,USA,40000000.0,89138076.0,98535,734.0,212.0,0,0.0,287.0,157.0,71.0,600,5.5,Fair
1981,1982,99.0,3.0,USA,25000000.0,10719367.0,7909,157.0,72.0,261,79.0,16000.0,11000.0,956.0,28987,4.9,Fair
29,30,143.0,0.0,UK,200000000.0,304360277.0,522030,1498.0,750.0,80000,0.0,883.0,563.0,393.0,2039,7.8,Good
3306,3307,92.0,1.0,USA,9000000.0,4881867.0,15200,76.0,129.0,1000,26.0,1000.0,1000.0,611.0,3767,6.4,Good
3192,3193,115.0,0.0,Germany,6500000.0,54557348.0,361169,1624.0,287.0,18000,549.0,3000.0,912.0,911.0,5732,7.9,Good
887,888,119.0,1.0,USA,55000000.0,39440655.0,61680,222.0,197.0,19000,59.0,2000.0,828.0,676.0,4315,6.4,Good
2812,2813,132.0,2.0,France,103000000.0,274299.0,11077,55.0,69.0,0,333.0,380.0,326.0,284.0,1429,7.3,Good
655,656,113.0,0.0,USA,65000000.0,119412921.0,240241,391.0,196.0,0,719.0,605.0,308.0,217.0,1441,7.5,Good
4485,4486,100.0,0.0,USA,1200000.0,18488314.0,76151,333.0,100.0,0,422.0,816.0,577.0,422.0,2893,7.1,Good
598,599,119.0,3.0,USA,70000000.0,98895417.0,203154,698.0,358.0,45000,845.0,18000.0,11000.0,992.0,31782,6.5,Good
2075,2076,141.0,2.0,USA,23000000.0,16123851.0,17373,148.0,118.0,767,300.0,805.0,539.0,73.0,1618,6.2,Good
1857,1858,99.0,0.0,Canada,26000000.0,13829734.0,16194,79.0,32.0,319,5.0,1000.0,691.0,535.0,2960,4.3,Fair
4778,4779,91.0,0.0,USA,475000.0,48468407.52680933,19253,147.0,96.0,0,6.0,488.0,11.0,10.0,553,6.2,Good
2044,2045,120.0,3.0,UK,24000000.0,42880.0,2919,50.0,16.0,181,6.0,22000.0,670.0,382.0,23769,5.1,Fair
2017,2018,119.0,5.0,USA,25000000.0,109713132.0,61621,219.0,106.0,0,12000.0,12000.0,664.0,643.0,15449,7.3,Good
801,802,90.0,1.0,USA,60000000.0,11802056.0,31640,109.0,127.0,791,48.0,973.0,400.0,196.0,1865,4.9,Fair
4101,4102,134.0,9.0,USA,3000000.0,3000000.0,55329,499.0,148.0,0,377.0,22000.0,11000.0,812.0,36859,7.8,Good
3579,3580,123.0,6.0,USA,6000000.0,2122561.0,99033,434.0,93.0,0,0.0,1000.0,898.0,781.0,3254,7.2,Good
2586,2587,92.0,1.0,UK,15000000.0,23091.0,5664,42.0,67.0,921,6.0,10000.0,304.0,227.0,11091,6.2,Good
4406,4407,97.0,1.0,USA,1000000.0,7022940.0,14018,190.0,110.0,682,0.0,378.0,321.0,117.0,1173,6.7,Good
2608,2609,45.0,0.0,USA,39752620.436387606,48468407.52680933,18058,68.0,20.0,0,686.6217091940057,460.0,292.0,260.0,2380,7.3,Good
3251,3252,90.0,4.0,USA,10000000.0,48468407.52680933,5715,60.0,32.0,486,110.0,1000.0,898.0,711.0,3937,3.8,Bad
3976,3977,95.0,0.0,Canada,3500000.0,37606.0,31836,90.0,78.0,0,89.0,963.0,654.0,388.0,2658,6.8,Good
1774,1775,81.0,6.0,USA,28000000.0,66950483.0,29738,85.0,119.0,12000,44.0,35000.0,7000.0,3000.0,47677,6.2,Good
156,157,90.0,1.0,USA,100000000.0,110332737.0,110788,258.0,135.0,2000,23.0,957.0,550.0,233.0,1997,6.1,Good
1411,1412,123.0,2.0,USA,35000000.0,81159365.0,191470,278.0,144.0,0,126.0,18000.0,5000.0,1000.0,25661,6.8,Good
4338,4339,108.0,1.0,USA,2000000.0,48468407.52680933,583,14.0,2.0,651,531.0,10000.0,1000.0,894.0,15707,4.4,Fair
3109,3110,107.0,2.0,Australia,12305523.0,36200000.0,101840,193.0,117.0,0,750.0,794.0,531.0,60.0,1529,6.2,Good
831,832,131.0,2.0,UK,57000000.0,25528495.0,28099,220.0,96.0,0,108.0,23000.0,243.0,58.0,23325,5.9,Fair
1343,1344,122.0,1.0,Hong Kong,38600000.0,6594136.0,24557,111.0,273.0,13000,0.0,643.0,290.0,7.0,943,6.5,Good
1658,1659,60.0,4.0,USA,39752620.436387606,48468407.52680933,3322,30.0,9.0,0,686.6217091940057,971.0,805.0,468.0,3295,7.5,Good
