Product_Code,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
P134,32,41,50,35,36,35,41,33,32,34,38
P135,38,32,36,37,42,33,56,37,39,31,43
P136,39,37,39,52,38,28,51,39,42,37,35
P137,37,41,43,41,40,47,54,30,43,40,33
P138,36,44,22,35,34,34,38,34,26,36,33
P139,32,36,32,38,47,31,48,27,41,36,31
P140,28,36,41,46,34,38,38,28,34,27,28
P141,27,45,40,34,31,35,37,40,40,37,34
P142,23,29,40,43,34,30,42,43,35,35,43
P143,31,35,29,42,31,35,28,41,49,41,36
P144,9,13,17,12,8,21,12,9,6,5,6
P145,10,12,9,9,12,6,9,12,13,7,12
P146,7,13,9,13,10,12,11,6,11,11,10
P147,10,4,9,9,15,7,10,14,10,9,12
P148,3,2,8,3,5,7,1,5,3,5,3
P149,11,9,9,6,13,8,11,14,14,11,9
P150,4,3,3,4,6,2,3,5,4,3,4
P151,3,7,8,8,6,8,2,12,1,3,8
P152,11,10,8,8,13,4,10,10,6,12,16
P153,22,9,11,10,10,5,9,13,17,14,10
P154,12,14,11,6,8,7,16,4,11,5,8
P155,5,7,4,3,4,3,2,4,3,5,2
P156,1,4,6,6,3,8,2,3,4,6,3
P157,12,8,14,7,8,10,11,14,15,8,9
P158,8,3,3,2,3,3,4,5,2,7,7
P159,2,2,9,5,2,7,4,4,5,7,2
P160,9,8,10,13,14,10,15,9,6,6,7
P161,5,6,5,7,1,3,6,6,2,9,4
P162,13,9,12,9,11,11,9,11,9,9,18
P163,6,5,6,6,7,5,5,5,1,3,1
P164,9,5,8,9,14,10,8,11,8,7,8
P165,9,13,9,16,12,9,13,14,6,16,10
P166,7,10,9,11,5,8,15,14,9,7,16
P167,33,45,42,41,32,45,43,45,45,36,48
P168,34,29,34,59,27,39,34,49,35,45,39
P169,38,31,22,43,29,25,46,32,38,39,32
P170,29,37,32,43,30,27,28,22,37,42,32
P171,6,7,13,6,4,12,11,9,13,13,14
P172,32,48,44,40,31,40,30,45,40,29,45
P173,34,25,42,47,37,40,30,44,37,38,41
P174,37,42,30,43,48,44,47,27,43,41,34
P175,30,40,48,28,30,34,40,53,43,37,29
P176,38,44,41,26,28,36,29,38,45,32,45
P177,25,38,37,48,34,40,30,29,39,40,36
P178,35,34,40,36,45,37,43,47,34,39,33
P179,44,43,35,36,39,42,31,44,37,38,33
P180,40,38,34,43,43,34,41,31,55,34,51
P181,32,44,31,38,37,36,30,42,49,46,26
P182,42,28,34,28,26,35,29,36,44,37,47
P183,25,37,42,50,18,32,38,37,33,30,37
P184,30,37,38,30,32,32,52,33,47,44,38
P185,32,28,36,40,40,50,43,40,38,35,43
P186,36,34,37,36,41,33,51,43,21,44,35
P187,31,38,47,36,36,27,28,19,40,38,28
P188,33,34,36,52,42,49,39,30,43,20,25
P189,32,34,46,30,39,51,28,25,30,32,38
P190,54,41,51,45,51,46,31,37,38,35,43
P191,48,36,42,35,44,39,37,45,42,40,40
P192,24,33,30,35,36,43,43,31,31,39,26
P193,36,22,32,45,35,44,39,41,33,43,49
P194,35,37,31,23,37,42,38,34,33,37,34
P195,4,4,7,5,5,3,3,7,3,5,8
P196,43,34,39,32,45,35,43,44,36,39,37
P197,6,8,8,16,8,11,9,18,10,12,12
P198,7,19,4,9,8,12,11,10,8,16,10
P199,4,1,1,6,3,7,1,4,4,5,3
P200,18,14,21,17,26,14,15,20,17,12,14
